====================================================================================================
BREAKTHROUGH TOURNAMENT - MOVE GENERATION LOG
Started: 2026-02-07 16:32:37
====================================================================================================

[Game   1] [Move  54] Player: Player2 (UCT ) | Sims:   178 | Time:  1.514s | Move: (4, 7, 3, 7)
[Game   1] [Move  55] Player: Player1 (MCVS) | Sims:    14 | Time:  1.551s | Move: (3, 4, 4, 5)
[Game   1] [Move  56] Player: Player2 (UCT ) | Sims:   128 | Time:  1.505s | Move: (6, 3, 5, 3)
[Game   1] [Move  57] Player: Player1 (MCVS) | Sims:    12 | Time:  1.595s | Move: (2, 4, 3, 4)
[Game   1] [Move  58] Player: Player2 (UCT ) | Sims:   115 | Time:  1.509s | Move: (3, 7, 2, 6)
[Game   1] [Move  59] Player: Player1 (MCVS) | Sims:    11 | Time:  1.611s | Move: (1, 7, 2, 6)
[Game   1] [Move  60] Player: Player2 (UCT ) | Sims:   135 | Time:  1.510s | Move: (7, 6, 6, 6)
[Game   1] [Move  61] Player: Player1 (MCVS) | Sims:    12 | Time:  1.603s | Move: (2, 7, 3, 7)
[Game   1] [Move  62] Player: Player2 (UCT ) | Sims:   126 | Time:  1.503s | Move: (4, 2, 3, 3)
[Game   1] [Move  63] Player: Player1 (MCVS) | Sims:    18 | Time:  1.540s | Move: (2, 5, 3, 5)
[Game   1] [Move  64] Player: Player2 (UCT ) | Sims:   135 | Time:  1.506s | Move: (6, 5, 5, 5)
[Game   1] [Move  65] Player: Player1 (MCVS) | Sims:    13 | Time:  1.511s | Move: (1, 5, 2, 5)
[Game   1] [Move  66] Player: Player2 (UCT ) | Sims:   111 | Time:  1.515s | Move: (7, 2, 6, 2)
[Game   1] [Move  67] Player: Player1 (MCVS) | Sims:    17 | Time:  1.532s | Move: (3, 7, 4, 6)
[Game   1] [Move  68] Player: Player2 (UCT ) | Sims:    81 | Time:  1.503s | Move: (5, 3, 4, 3)
[Game   1] [Move  69] Player: Player1 (MCVS) | Sims:    13 | Time:  1.542s | Move: (1, 4, 2, 4)
[Game   1] [Move  70] Player: Player2 (UCT ) | Sims:   157 | Time:  1.505s | Move: (6, 7, 5, 7)
[Game   1] [Move  71] Player: Player1 (MCVS) | Sims:    20 | Time:  1.678s | Move: (3, 2, 4, 3)
[Game   1] [Move  72] Player: Player2 (UCT ) | Sims:   127 | Time:  1.517s | Move: (5, 7, 4, 6)
[Game   1] [Move  73] Player: Player1 (MCVS) | Sims:    24 | Time:  1.615s | Move: (3, 4, 4, 4)
[Game   1] [Move  74] Player: Player2 (UCT ) | Sims:   116 | Time:  1.519s | Move: (7, 3, 6, 3)
[Game   1] [Move  75] Player: Player1 (MCVS) | Sims:    24 | Time:  1.561s | Move: (2, 4, 3, 4)
[Game   1] [Move  76] Player: Player2 (UCT ) | Sims:   175 | Time:  1.506s | Move: (6, 3, 5, 3)
[Game   1] [Move  77] Player: Player1 (MCVS) | Sims:    32 | Time:  1.540s | Move: (3, 5, 4, 6)
[Game   1] [Move  78] Player: Player2 (UCT ) | Sims:   203 | Time:  1.505s | Move: (6, 6, 5, 6)
[Game   1] [Move  79] Player: Player1 (MCVS) | Sims:    41 | Time:  1.549s | Move: (4, 4, 5, 4)
[Game   1] [Move  80] Player: Player2 (UCT ) | Sims:   208 | Time:  1.513s | Move: (5, 6, 4, 5)
[Game   1] [Move  81] Player: Player1 (MCVS) | Sims:    20 | Time:  1.519s | Move: (3, 4, 4, 5)
[Game   1] [Move  82] Player: Player2 (UCT ) | Sims:   230 | Time:  1.505s | Move: (3, 3, 2, 3)
[Game   1] [Move  83] Player: Player1 (MCVS) | Sims:    75 | Time:  1.532s | Move: (2, 5, 3, 5)
[Game   1] [Move  84] Player: Player2 (UCT ) | Sims:   261 | Time:  1.507s | Move: (6, 2, 5, 2)
[Game   1] [Move  85] Player: Player1 (MCVS) | Sims:    57 | Time:  1.509s | Move: (5, 4, 6, 4)
[Game   1] [Move  86] Player: Player2 (UCT ) | Sims:   260 | Time:  1.527s | Move: (5, 5, 4, 6)
[Game   1] [Move  87] Player: Player1 (MCVS) | Sims:   483 | Time:  1.507s | Move: (6, 4, 7, 4)

----------------------------------------------------------------------------------------------------
GAME 1 SUMMARY - Winner: MCVS
Total moves: 87

MCVS Statistics:
  Total simulations: 1,157
  Avg sims/move: 26.3
  Total time: 69.07s
  Avg time/move: 1.570s

UCT Statistics:
  Total simulations: 6,884
  Avg sims/move: 160.1
  Total time: 64.95s
  Avg time/move: 1.510s
----------------------------------------------------------------------------------------------------

[Game   2] [Move   1] Player: Player1 (UCT ) | Sims:   132 | Time:  1.518s | Move: (1, 4, 2, 4)
[Game   2] [Move   2] Player: Player2 (MCVS) | Sims:    12 | Time:  1.569s | Move: (6, 1, 5, 1)
[Game   2] [Move   3] Player: Player1 (UCT ) | Sims:   103 | Time:  1.506s | Move: (1, 7, 2, 7)
[Game   2] [Move   4] Player: Player2 (MCVS) | Sims:     9 | Time:  1.517s | Move: (5, 1, 4, 1)
[Game   2] [Move   5] Player: Player1 (UCT ) | Sims:   171 | Time:  1.512s | Move: (1, 5, 2, 5)
[Game   2] [Move   6] Player: Player2 (MCVS) | Sims:     8 | Time:  1.588s | Move: (4, 1, 3, 1)
[Game   2] [Move   7] Player: Player1 (UCT ) | Sims:   143 | Time:  1.510s | Move: (0, 7, 1, 7)
[Game   2] [Move   8] Player: Player2 (MCVS) | Sims:     6 | Time:  1.555s | Move: (3, 1, 2, 1)
[Game   2] [Move   9] Player: Player1 (UCT ) | Sims:    94 | Time:  1.529s | Move: (1, 2, 2, 2)
[Game   2] [Move  10] Player: Player2 (MCVS) | Sims:     6 | Time:  1.511s | Move: (6, 0, 5, 0)
[Game   2] [Move  11] Player: Player1 (UCT ) | Sims:   195 | Time:  1.505s | Move: (1, 0, 2, 0)
[Game   2] [Move  12] Player: Player2 (MCVS) | Sims:     8 | Time:  1.526s | Move: (5, 0, 4, 0)
[Game   2] [Move  13] Player: Player1 (UCT ) | Sims:   134 | Time:  1.507s | Move: (1, 3, 2, 3)
[Game   2] [Move  14] Player: Player2 (MCVS) | Sims:     8 | Time:  1.703s | Move: (6, 6, 5, 6)
[Game   2] [Move  15] Player: Player1 (UCT ) | Sims:   164 | Time:  1.520s | Move: (0, 4, 1, 4)
[Game   2] [Move  16] Player: Player2 (MCVS) | Sims:     9 | Time:  1.559s | Move: (4, 0, 3, 0)
[Game   2] [Move  17] Player: Player1 (UCT ) | Sims:   152 | Time:  1.510s | Move: (0, 2, 1, 2)
[Game   2] [Move  18] Player: Player2 (MCVS) | Sims:    10 | Time:  1.552s | Move: (7, 6, 6, 6)
[Game   2] [Move  19] Player: Player1 (UCT ) | Sims:   147 | Time:  1.511s | Move: (1, 6, 2, 6)
[Game   2] [Move  20] Player: Player2 (MCVS) | Sims:    10 | Time:  1.631s | Move: (7, 0, 6, 0)
[Game   2] [Move  21] Player: Player1 (UCT ) | Sims:   109 | Time:  1.507s | Move: (2, 5, 3, 5)
[Game   2] [Move  22] Player: Player2 (MCVS) | Sims:    11 | Time:  1.610s | Move: (7, 1, 6, 1)
[Game   2] [Move  23] Player: Player1 (UCT ) | Sims:   152 | Time:  1.504s | Move: (2, 6, 3, 6)
[Game   2] [Move  24] Player: Player2 (MCVS) | Sims:     9 | Time:  1.652s | Move: (6, 1, 5, 1)
[Game   2] [Move  25] Player: Player1 (UCT ) | Sims:   200 | Time:  1.501s | Move: (0, 3, 1, 3)
[Game   2] [Move  26] Player: Player2 (MCVS) | Sims:    12 | Time:  1.530s | Move: (5, 1, 4, 1)
[Game   2] [Move  27] Player: Player1 (UCT ) | Sims:   152 | Time:  1.527s | Move: (0, 0, 1, 0)
