====================================================================================================
CHESS TOURNAMENT - MOVE GENERATION LOG (ZONE-ONLY ABLATION)
Started: 2026-02-07 18:30:43
====================================================================================================

[Game   1] [Move  65] Player: White (MCVS) | Sims:     7 | Time:  1.625s | Move: g8f6
[Game   1] [Move  66] Player: Black (UCT ) | Sims:    14 | Time:  1.566s | Move: e8f8
[Game   1] [Move  67] Player: White (MCVS) | Sims:     7 | Time:  1.533s | Move: f6g8
[Game   1] [Move  68] Player: Black (UCT ) | Sims:    16 | Time:  1.504s | Move: f2h1
[Game   1] [Move  69] Player: White (MCVS) | Sims:     7 | Time:  1.520s | Move: g8e7
[Game   1] [Move  70] Player: Black (UCT ) | Sims:    16 | Time:  1.518s | Move: a7b7
[Game   1] [Move  71] Player: White (MCVS) | Sims:     8 | Time:  1.519s | Move: e7c6
[Game   1] [Move  72] Player: Black (UCT ) | Sims:    18 | Time:  1.553s | Move: b7a7
[Game   1] [Move  73] Player: White (MCVS) | Sims:     7 | Time:  1.616s | Move: c6d8
[Game   1] [Move  74] Player: Black (UCT ) | Sims:    14 | Time:  1.598s | Move: a2e6
[Game   1] [Move  75] Player: White (MCVS) | Sims:     8 | Time:  1.668s | Move: d8f7
[Game   1] [Move  76] Player: Black (UCT ) | Sims:    19 | Time:  1.511s | Move: e6a2
[Game   1] [Move  77] Player: White (MCVS) | Sims:     7 | Time:  1.639s | Move: f7h8
[Game   1] [Move  78] Player: Black (UCT ) | Sims:    14 | Time:  1.501s | Move: a7b7
[Game   1] [Move  79] Player: White (MCVS) | Sims:     8 | Time:  1.603s | Move: h8f7
[Game   1] [Move  80] Player: Black (UCT ) | Sims:    18 | Time:  1.537s | Move: a2f7
[Game   1] [Move  81] Player: White (MCVS) | Sims:     7 | Time:  1.524s | Move: g1g2
[Game   1] [Move  82] Player: Black (UCT ) | Sims:    14 | Time:  1.533s | Move: f8g7
[Game   1] [Move  83] Player: White (MCVS) | Sims:     8 | Time:  1.630s | Move: g2g4
[Game   1] [Move  84] Player: Black (UCT ) | Sims:    16 | Time:  1.510s | Move: g7f6
[Game   1] [Move  85] Player: White (MCVS) | Sims:    10 | Time:  1.680s | Move: g4g8
[Game   1] [Move  86] Player: Black (UCT ) | Sims:    20 | Time:  1.524s | Move: d6d5
[Game   1] [Move  87] Player: White (MCVS) | Sims:     8 | Time:  1.542s | Move: g8f8
[Game   1] [Move  88] Player: Black (UCT ) | Sims:    14 | Time:  1.598s | Move: f6e5
[Game   1] [Move  89] Player: White (MCVS) | Sims:     8 | Time:  1.633s | Move: f8h8
[Game   1] [Move  90] Player: Black (UCT ) | Sims:    13 | Time:  1.504s | Move: h5h4
[Game   1] [Move  91] Player: White (MCVS) | Sims:     8 | Time:  1.545s | Move: h8g8
[Game   1] [Move  92] Player: Black (UCT ) | Sims:    16 | Time:  1.674s | Move: b7b6
[Game   1] [Move  93] Player: White (MCVS) | Sims:     8 | Time:  1.595s | Move: g8h8
[Game   1] [Move  94] Player: Black (UCT ) | Sims:    15 | Time:  1.537s | Move: b5b4
[Game   1] [Move  95] Player: White (MCVS) | Sims:     7 | Time:  1.527s | Move: h8g8
[Game   1] [Move  96] Player: Black (UCT ) | Sims:    23 | Time:  1.562s | Move: b6h6
[Game   1] [Move  97] Player: White (MCVS) | Sims:     7 | Time:  1.708s | Move: g8h8
[Game   1] [Move  98] Player: Black (UCT ) | Sims:    18 | Time:  1.530s | Move: a6c6
[Game   1] [Move  99] Player: White (MCVS) | Sims:     7 | Time:  1.637s | Move: h8g8
[Game   1] [Move 100] Player: Black (UCT ) | Sims:    20 | Time:  1.522s | Move: h6h7
[Game   1] [Move 101] Player: White (MCVS) | Sims:     7 | Time:  1.522s | Move: g8h8
[Game   1] [Move 102] Player: Black (UCT ) | Sims:    20 | Time:  1.516s | Move: h7h6
[Game   1] [Move 103] Player: White (MCVS) | Sims:     8 | Time:  1.658s | Move: h8c8
