====================================================================================================
BREAKTHROUGH TOURNAMENT - MOVE GENERATION LOG
Started: 2026-02-07 10:12:43
====================================================================================================

[Game   1] [Move  55] Player: P1   (MCVS) | Sims:   136 | Time:  1.503s | Move: (3, 5, 4, 5)
[Game   1] [Move  56] Player: P2   (UCT ) | Sims:   208 | Time:  1.508s | Move: (5, 3, 4, 3)
[Game   1] [Move  57] Player: P1   (MCVS) | Sims:   142 | Time:  1.514s | Move: (1, 5, 2, 5)
[Game   1] [Move  58] Player: P2   (UCT ) | Sims:   132 | Time:  1.512s | Move: (7, 5, 6, 5)
[Game   1] [Move  59] Player: P1   (MCVS) | Sims:   138 | Time:  1.509s | Move: (3, 6, 4, 6)
[Game   1] [Move  60] Player: P2   (UCT ) | Sims:   179 | Time:  1.515s | Move: (6, 7, 5, 7)
[Game   1] [Move  61] Player: P1   (MCVS) | Sims:   144 | Time:  1.505s | Move: (2, 1, 3, 2)
[Game   1] [Move  62] Player: P2   (UCT ) | Sims:   141 | Time:  1.516s | Move: (3, 7, 2, 7)
[Game   1] [Move  63] Player: P1   (MCVS) | Sims:   138 | Time:  1.525s | Move: (4, 1, 5, 0)
[Game   1] [Move  64] Player: P2   (UCT ) | Sims:   225 | Time:  1.505s | Move: (6, 6, 5, 6)
[Game   1] [Move  65] Player: P1   (MCVS) | Sims:   149 | Time:  1.505s | Move: (5, 2, 6, 2)
[Game   1] [Move  66] Player: P2   (UCT ) | Sims:   176 | Time:  1.504s | Move: (5, 5, 4, 6)
[Game   1] [Move  67] Player: P1   (MCVS) | Sims:   193 | Time:  1.514s | Move: (6, 2, 7, 1)

----------------------------------------------------------------------------------------------------
GAME 1 SUMMARY - Winner: MCVS
Total moves: 67

MCVS Statistics:
  Total simulations: 4,207
  Avg sims/move: 123.7
  Total time: 51.29s
  Avg time/move: 1.509s

UCT Statistics:
  Total simulations: 5,533
  Avg sims/move: 167.7
  Total time: 49.79s
  Avg time/move: 1.509s
----------------------------------------------------------------------------------------------------

[Game   2] [Move   1] Player: P1   (UCT ) | Sims:   150 | Time:  1.504s | Move: (1, 3, 2, 3)
[Game   2] [Move   2] Player: P2   (MCVS) | Sims:   108 | Time:  1.512s | Move: (6, 5, 5, 5)
[Game   2] [Move   3] Player: P1   (UCT ) | Sims:   160 | Time:  1.506s | Move: (1, 5, 2, 5)
[Game   2] [Move   4] Player: P2   (MCVS) | Sims:   109 | Time:  1.512s | Move: (6, 7, 5, 7)
[Game   2] [Move   5] Player: P1   (UCT ) | Sims:   146 | Time:  1.511s | Move: (1, 0, 2, 0)
[Game   2] [Move   6] Player: P2   (MCVS) | Sims:   108 | Time:  1.513s | Move: (6, 6, 5, 6)
[Game   2] [Move   7] Player: P1   (UCT ) | Sims:   134 | Time:  1.510s | Move: (0, 0, 1, 0)
[Game   2] [Move   8] Player: P2   (MCVS) | Sims:   106 | Time:  1.500s | Move: (5, 7, 4, 7)
[Game   2] [Move   9] Player: P1   (UCT ) | Sims:   145 | Time:  1.510s | Move: (1, 4, 2, 4)
[Game   2] [Move  10] Player: P2   (MCVS) | Sims:    97 | Time:  1.501s | Move: (6, 1, 5, 1)
[Game   2] [Move  11] Player: P1   (UCT ) | Sims:   141 | Time:  1.504s | Move: (2, 0, 3, 0)
[Game   2] [Move  12] Player: P2   (MCVS) | Sims:   105 | Time:  1.503s | Move: (7, 1, 6, 1)
[Game   2] [Move  13] Player: P1   (UCT ) | Sims:   152 | Time:  1.517s | Move: (0, 3, 1, 3)
[Game   2] [Move  14] Player: P2   (MCVS) | Sims:   101 | Time:  1.507s | Move: (5, 1, 4, 1)
[Game   2] [Move  15] Player: P1   (UCT ) | Sims:   183 | Time:  1.507s | Move: (2, 5, 3, 5)
[Game   2] [Move  16] Player: P2   (MCVS) | Sims:   106 | Time:  1.512s | Move: (7, 5, 6, 5)
[Game   2] [Move  17] Player: P1   (UCT ) | Sims:   188 | Time:  1.506s | Move: (1, 6, 2, 6)
[Game   2] [Move  18] Player: P2   (MCVS) | Sims:    95 | Time:  1.503s | Move: (6, 1, 5, 1)
[Game   2] [Move  19] Player: P1   (UCT ) | Sims:   117 | Time:  1.513s | Move: (2, 3, 3, 3)
[Game   2] [Move  20] Player: P2   (MCVS) | Sims:   102 | Time:  1.504s | Move: (5, 5, 4, 5)
[Game   2] [Move  21] Player: P1   (UCT ) | Sims:   113 | Time:  1.506s | Move: (3, 0, 4, 1)
[Game   2] [Move  22] Player: P2   (MCVS) | Sims:   104 | Time:  1.506s | Move: (6, 5, 5, 5)
[Game   2] [Move  23] Player: P1   (UCT ) | Sims:   148 | Time:  1.514s | Move: (0, 5, 1, 5)
[Game   2] [Move  24] Player: P2   (MCVS) | Sims:   109 | Time:  1.504s | Move: (6, 2, 5, 2)
[Game   2] [Move  25] Player: P1   (UCT ) | Sims:   144 | Time:  1.534s | Move: (0, 4, 1, 4)
[Game   2] [Move  26] Player: P2   (MCVS) | Sims:   109 | Time:  1.508s | Move: (7, 2, 6, 2)
[Game   2] [Move  27] Player: P1   (UCT ) | Sims:   190 | Time:  1.511s | Move: (1, 0, 2, 0)
[Game   2] [Move  28] Player: P2   (MCVS) | Sims:   108 | Time:  1.506s | Move: (6, 4, 5, 4)
[Game   2] [Move  29] Player: P1   (UCT ) | Sims:   188 | Time:  1.520s | Move: (0, 6, 1, 6)
[Game   2] [Move  30] Player: P2   (MCVS) | Sims:   104 | Time:  1.506s | Move: (7, 6, 6, 6)
[Game   2] [Move  31] Player: P1   (UCT ) | Sims:   131 | Time:  1.506s | Move: (2, 4, 3, 4)
[Game   2] [Move  32] Player: P2   (MCVS) | Sims:   104 | Time:  1.512s | Move: (5, 4, 4, 4)
[Game   2] [Move  33] Player: P1   (UCT ) | Sims:   144 | Time:  1.506s | Move: (2, 6, 3, 6)
[Game   2] [Move  34] Player: P2   (MCVS) | Sims:   108 | Time:  1.502s | Move: (5, 2, 4, 2)
[Game   2] [Move  35] Player: P1   (UCT ) | Sims:   201 | Time:  1.523s | Move: (1, 7, 2, 7)
[Game   2] [Move  36] Player: P2   (MCVS) | Sims:   109 | Time:  1.515s | Move: (6, 2, 5, 2)
[Game   2] [Move  37] Player: P1   (UCT ) | Sims:   116 | Time:  1.505s | Move: (1, 3, 2, 3)
[Game   2] [Move  38] Player: P2   (MCVS) | Sims:   104 | Time:  1.504s | Move: (5, 6, 4, 6)
[Game   2] [Move  39] Player: P1   (UCT ) | Sims:   178 | Time:  1.509s | Move: (3, 5, 4, 6)
[Game   2] [Move  40] Player: P2   (MCVS) | Sims:   113 | Time:  1.503s | Move: (7, 4, 6, 4)
[Game   2] [Move  41] Player: P1   (UCT ) | Sims:   155 | Time:  1.515s | Move: (1, 1, 2, 1)
[Game   2] [Move  42] Player: P2   (MCVS) | Sims:   101 | Time:  1.517s | Move: (4, 2, 3, 2)
[Game   2] [Move  43] Player: P1   (UCT ) | Sims:   207 | Time:  1.509s | Move: (2, 1, 3, 1)
[Game   2] [Move  44] Player: P2   (MCVS) | Sims:   113 | Time:  1.509s | Move: (6, 6, 5, 6)
[Game   2] [Move  45] Player: P1   (UCT ) | Sims:   224 | Time:  1.513s | Move: (1, 6, 2, 6)
[Game   2] [Move  46] Player: P2   (MCVS) | Sims:   105 | Time:  1.513s | Move: (6, 4, 5, 4)
[Game   2] [Move  47] Player: P1   (UCT ) | Sims:   209 | Time:  1.503s | Move: (3, 3, 4, 4)
[Game   2] [Move  48] Player: P2   (MCVS) | Sims:   118 | Time:  1.507s | Move: (6, 3, 5, 3)
[Game   2] [Move  49] Player: P1   (UCT ) | Sims:   223 | Time:  1.514s | Move: (4, 4, 5, 3)
[Game   2] [Move  50] Player: P2   (MCVS) | Sims:   112 | Time:  1.506s | Move: (7, 3, 6, 3)
[Game   2] [Move  51] Player: P1   (UCT ) | Sims:   154 | Time:  1.508s | Move: (0, 7, 1, 7)
[Game   2] [Move  52] Player: P2   (MCVS) | Sims:   121 | Time:  1.502s | Move: (5, 4, 4, 4)
[Game   2] [Move  53] Player: P1   (UCT ) | Sims:   242 | Time:  1.507s | Move: (1, 2, 2, 2)
[Game   2] [Move  54] Player: P2   (MCVS) | Sims:   111 | Time:  1.507s | Move: (6, 0, 5, 0)
[Game   2] [Move  55] Player: P1   (UCT ) | Sims:   185 | Time:  1.515s | Move: (3, 6, 4, 7)
[Game   2] [Move  56] Player: P2   (MCVS) | Sims:   128 | Time:  1.500s | Move: (5, 5, 4, 6)
[Game   2] [Move  57] Player: P1   (UCT ) | Sims:   167 | Time:  1.520s | Move: (4, 7, 5, 6)
[Game   2] [Move  58] Player: P2   (MCVS) | Sims:   137 | Time:  1.514s | Move: (5, 0, 4, 0)
[Game   2] [Move  59] Player: P1   (UCT ) | Sims:   199 | Time:  1.508s | Move: (0, 2, 1, 2)
[Game   2] [Move  60] Player: P2   (MCVS) | Sims:   136 | Time:  1.522s | Move: (7, 0, 6, 0)
[Game   2] [Move  61] Player: P1   (UCT ) | Sims:   117 | Time:  1.519s | Move: (0, 1, 1, 1)
[Game   2] [Move  62] Player: P2   (MCVS) | Sims:   137 | Time:  1.508s | Move: (6, 0, 5, 0)
[Game   2] [Move  63] Player: P1   (UCT ) | Sims:   230 | Time:  1.506s | Move: (5, 6, 6, 6)
[Game   2] [Move  64] Player: P2   (MCVS) | Sims:   145 | Time:  1.505s | Move: (5, 2, 4, 2)
[Game   2] [Move  65] Player: P1   (UCT ) | Sims:   190 | Time:  1.504s | Move: (2, 6, 3, 6)
[Game   2] [Move  66] Player: P2   (MCVS) | Sims:   168 | Time:  1.513s | Move: (5, 0, 4, 1)
[Game   2] [Move  67] Player: P1   (UCT ) | Sims:   358 | Time:  1.517s | Move: (3, 1, 4, 0)
[Game   2] [Move  68] Player: P2   (MCVS) | Sims:   188 | Time:  1.508s | Move: (3, 2, 2, 3)
[Game   2] [Move  69] Player: P1   (UCT ) | Sims:   186 | Time:  1.519s | Move: (3, 4, 4, 5)
[Game   2] [Move  70] Player: P2   (MCVS) | Sims:   212 | Time:  1.516s | Move: (7, 7, 6, 7)
[Game   2] [Move  71] Player: P1   (UCT ) | Sims:   198 | Time:  1.505s | Move: (6, 6, 7, 6)

----------------------------------------------------------------------------------------------------
GAME 2 SUMMARY - Winner: UCT
Total moves: 71

MCVS Statistics:
  Total simulations: 4,141
  Avg sims/move: 118.3
  Total time: 52.78s
  Avg time/move: 1.508s

UCT Statistics:
  Total simulations: 6,313
  Avg sims/move: 175.4
  Total time: 54.40s
  Avg time/move: 1.511s
----------------------------------------------------------------------------------------------------

[Game   3] [Move   1] Player: P1   (MCVS) | Sims:    68 | Time:  1.507s | Move: (1, 0, 2, 0)
[Game   3] [Move   2] Player: P2   (UCT ) | Sims:   163 | Time:  1.506s | Move: (6, 0, 5, 0)
[Game   3] [Move   3] Player: P1   (MCVS) | Sims:    58 | Time:  1.504s | Move: (1, 5, 2, 5)
[Game   3] [Move   4] Player: P2   (UCT ) | Sims:   171 | Time:  1.508s | Move: (6, 1, 5, 1)
[Game   3] [Move   5] Player: P1   (MCVS) | Sims:    67 | Time:  1.516s | Move: (1, 1, 2, 1)
[Game   3] [Move   6] Player: P2   (UCT ) | Sims:   166 | Time:  1.506s | Move: (7, 1, 6, 1)
[Game   3] [Move   7] Player: P1   (MCVS) | Sims:    67 | Time:  1.544s | Move: (1, 2, 2, 2)
[Game   3] [Move   8] Player: P2   (UCT ) | Sims:   151 | Time:  1.507s | Move: (6, 2, 5, 2)
[Game   3] [Move   9] Player: P1   (MCVS) | Sims:    97 | Time:  1.511s | Move: (1, 7, 2, 7)
[Game   3] [Move  10] Player: P2   (UCT ) | Sims:   147 | Time:  1.512s | Move: (5, 2, 4, 2)
[Game   3] [Move  11] Player: P1   (MCVS) | Sims:   103 | Time:  1.504s | Move: (2, 0, 3, 0)
[Game   3] [Move  12] Player: P2   (UCT ) | Sims:   176 | Time:  1.510s | Move: (6, 4, 5, 4)
[Game   3] [Move  13] Player: P1   (MCVS) | Sims:   104 | Time:  1.504s | Move: (1, 4, 2, 4)
[Game   3] [Move  14] Player: P2   (UCT ) | Sims:   153 | Time:  1.517s | Move: (6, 7, 5, 7)
[Game   3] [Move  15] Player: P1   (MCVS) | Sims:   106 | Time:  1.503s | Move: (2, 7, 3, 7)
[Game   3] [Move  16] Player: P2   (UCT ) | Sims:   203 | Time:  1.524s | Move: (7, 7, 6, 7)
[Game   3] [Move  17] Player: P1   (MCVS) | Sims:    95 | Time:  1.507s | Move: (3, 7, 4, 7)
[Game   3] [Move  18] Player: P2   (UCT ) | Sims:   188 | Time:  1.511s | Move: (5, 0, 4, 0)
[Game   3] [Move  19] Player: P1   (MCVS) | Sims:   102 | Time:  1.515s | Move: (0, 5, 1, 5)
[Game   3] [Move  20] Player: P2   (UCT ) | Sims:   183 | Time:  1.515s | Move: (7, 2, 6, 2)
[Game   3] [Move  21] Player: P1   (MCVS) | Sims:   102 | Time:  1.508s | Move: (0, 1, 1, 1)
[Game   3] [Move  22] Player: P2   (UCT ) | Sims:   191 | Time:  1.516s | Move: (6, 5, 5, 5)
[Game   3] [Move  23] Player: P1   (MCVS) | Sims:   104 | Time:  1.508s | Move: (2, 4, 3, 4)
[Game   3] [Move  24] Player: P2   (UCT ) | Sims:   146 | Time:  1.510s | Move: (7, 5, 6, 5)
[Game   3] [Move  25] Player: P1   (MCVS) | Sims:   103 | Time:  1.508s | Move: (1, 6, 2, 6)
[Game   3] [Move  26] Player: P2   (UCT ) | Sims:   173 | Time:  1.509s | Move: (7, 0, 6, 0)
[Game   3] [Move  27] Player: P1   (MCVS) | Sims:   102 | Time:  1.515s | Move: (0, 4, 1, 4)
[Game   3] [Move  28] Player: P2   (UCT ) | Sims:   175 | Time:  1.512s | Move: (6, 0, 5, 0)
[Game   3] [Move  29] Player: P1   (MCVS) | Sims:   103 | Time:  1.507s | Move: (1, 4, 2, 4)
[Game   3] [Move  30] Player: P2   (UCT ) | Sims:   189 | Time:  1.509s | Move: (5, 1, 4, 1)
[Game   3] [Move  31] Player: P1   (MCVS) | Sims:   104 | Time:  1.516s | Move: (1, 3, 2, 3)
[Game   3] [Move  32] Player: P2   (UCT ) | Sims:   188 | Time:  1.516s | Move: (7, 4, 6, 4)
[Game   3] [Move  33] Player: P1   (MCVS) | Sims:   103 | Time:  1.511s | Move: (2, 3, 3, 3)
[Game   3] [Move  34] Player: P2   (UCT ) | Sims:   159 | Time:  1.502s | Move: (4, 2, 3, 3)
[Game   3] [Move  35] Player: P1   (MCVS) | Sims:    96 | Time:  1.524s | Move: (2, 6, 3, 6)
[Game   3] [Move  36] Player: P2   (UCT ) | Sims:   126 | Time:  1.513s | Move: (5, 5, 4, 5)
[Game   3] [Move  37] Player: P1   (MCVS) | Sims:   106 | Time:  1.506s | Move: (0, 6, 1, 6)
[Game   3] [Move  38] Player: P2   (UCT ) | Sims:   179 | Time:  1.509s | Move: (4, 5, 3, 5)
[Game   3] [Move  39] Player: P1   (MCVS) | Sims:   108 | Time:  1.511s | Move: (1, 6, 2, 6)
[Game   3] [Move  40] Player: P2   (UCT ) | Sims:   172 | Time:  1.505s | Move: (3, 3, 2, 4)
[Game   3] [Move  41] Player: P1   (MCVS) | Sims:   101 | Time:  1.522s | Move: (3, 6, 4, 6)
[Game   3] [Move  42] Player: P2   (UCT ) | Sims:   234 | Time:  1.517s | Move: (6, 3, 5, 3)
[Game   3] [Move  43] Player: P1   (MCVS) | Sims:   112 | Time:  1.509s | Move: (0, 7, 1, 7)
[Game   3] [Move  44] Player: P2   (UCT ) | Sims:   190 | Time:  1.512s | Move: (3, 5, 2, 6)
[Game   3] [Move  45] Player: P1   (MCVS) | Sims:   103 | Time:  1.508s | Move: (1, 7, 2, 7)
[Game   3] [Move  46] Player: P2   (UCT ) | Sims:   289 | Time:  1.505s | Move: (4, 1, 3, 0)
[Game   3] [Move  47] Player: P1   (MCVS) | Sims:   122 | Time:  1.504s | Move: (2, 1, 3, 1)
