====================================================================================================
CHESS TOURNAMENT - MOVE GENERATION LOG
Started: 2026-02-08 07:30:48
====================================================================================================

[Game   1] [Move  65] Player: White (MCVS) | Sims:     6 | Time:  1.690s | Move: g1f2
[Game   1] [Move  66] Player: Black (UCT ) | Sims:    11 | Time:  1.667s | Move: d6g3
[Game   1] [Move  67] Player: White (MCVS) | Sims:     7 | Time:  1.502s | Move: f2f3
[Game   1] [Move  68] Player: Black (UCT ) | Sims:    13 | Time:  1.503s | Move: c4a4
[Game   1] [Move  69] Player: White (MCVS) | Sims:     7 | Time:  1.735s | Move: f5g6
[Game   1] [Move  70] Player: Black (UCT ) | Sims:    16 | Time:  1.538s | Move: g3h2
[Game   1] [Move  71] Player: White (MCVS) | Sims:     7 | Time:  1.536s | Move: c2c4
[Game   1] [Move  72] Player: Black (UCT ) | Sims:    13 | Time:  1.615s | Move: d7c7
[Game   1] [Move  73] Player: White (MCVS) | Sims:     7 | Time:  1.622s | Move: c4b4
[Game   1] [Move  74] Player: Black (UCT ) | Sims:    11 | Time:  1.548s | Move: c8g4
[Game   1] [Move  75] Player: White (MCVS) | Sims:    10 | Time:  1.621s | Move: f3f2
[Game   1] [Move  76] Player: Black (UCT ) | Sims:    12 | Time:  1.586s | Move: d5d4
[Game   1] [Move  77] Player: White (MCVS) | Sims:     8 | Time:  1.602s | Move: b4a4
[Game   1] [Move  78] Player: Black (UCT ) | Sims:    14 | Time:  1.588s | Move: h8g8
[Game   1] [Move  79] Player: White (MCVS) | Sims:     9 | Time:  1.519s | Move: a8b7
[Game   1] [Move  80] Player: Black (UCT ) | Sims:     8 | Time:  1.719s | Move: c7b7
[Game   1] [Move  81] Player: White (MCVS) | Sims:    10 | Time:  1.533s | Move: h3g4
[Game   1] [Move  82] Player: Black (UCT ) | Sims:    11 | Time:  1.556s | Move: h2e5
[Game   1] [Move  83] Player: White (MCVS) | Sims:    13 | Time:  1.505s | Move: h6g8
[Game   1] [Move  84] Player: Black (UCT ) | Sims:     6 | Time:  1.604s | Move: e5f6
[Game   1] [Move  85] Player: White (MCVS) | Sims:    19 | Time:  1.514s | Move: f2e2
