====================================================================================================
DRAUGHTS ABLATION (ZONE ONLY) - MOVE LOG
Started: 2026-02-07 17:36:42
====================================================================================================

[Game   1] [Move  54] Player: P2   (UCT ) | Sims:  1344 | Time:  1.501s | Move: (3, 0, 5, 2)
[Game   1] [Move  55] Player: P1   (MCVS) | Sims:    36 | Time:  1.530s | Move: (0, 5, 1, 6)
[Game   1] [Move  56] Player: P2   (UCT ) | Sims:  1340 | Time:  1.509s | Move: (4, 5, 5, 6)
[Game   1] [Move  57] Player: P1   (MCVS) | Sims:    36 | Time:  1.539s | Move: (1, 6, 2, 7)
[Game   1] [Move  58] Player: P2   (UCT ) | Sims:  1406 | Time:  1.501s | Move: (6, 5, 7, 6)
[Game   1] [Move  59] Player: P1   (MCVS) | Sims:    35 | Time:  1.545s | Move: (2, 7, 3, 6)
[Game   1] [Move  60] Player: P2   (UCT ) | Sims:  1826 | Time:  1.501s | Move: (5, 2, 6, 3)
[Game   1] [Move  61] Player: P1   (MCVS) | Sims:    35 | Time:  1.509s | Move: (3, 6, 2, 7)
[Game   1] [Move  62] Player: P2   (UCT ) | Sims:  1626 | Time:  1.500s | Move: (6, 3, 7, 4)
[Game   1] [Move  63] Player: P1   (MCVS) | Sims:    36 | Time:  1.530s | Move: (2, 7, 1, 6)
[Game   1] [Move  64] Player: P2   (UCT ) | Sims:  1572 | Time:  1.500s | Move: (7, 6, 6, 7)
[Game   1] [Move  65] Player: P1   (MCVS) | Sims:    35 | Time:  1.502s | Move: (1, 6, 2, 5)
[Game   1] [Move  66] Player: P2   (UCT ) | Sims:  1700 | Time:  1.501s | Move: (5, 6, 6, 5)
[Game   1] [Move  67] Player: P1   (MCVS) | Sims:    35 | Time:  1.509s | Move: (2, 5, 1, 4)
[Game   1] [Move  68] Player: P2   (UCT ) | Sims:  1630 | Time:  1.513s | Move: (6, 7, 7, 6)
[Game   1] [Move  69] Player: P1   (MCVS) | Sims:    35 | Time:  1.531s | Move: (1, 4, 0, 3)
[Game   1] [Move  70] Player: P2   (UCT ) | Sims:  1528 | Time:  1.501s | Move: (7, 4, 6, 3)
[Game   1] [Move  71] Player: P1   (MCVS) | Sims:    36 | Time:  1.538s | Move: (0, 3, 1, 2)
[Game   1] [Move  72] Player: P2   (UCT ) | Sims:  1546 | Time:  1.503s | Move: (6, 3, 7, 4)
[Game   1] [Move  73] Player: P1   (MCVS) | Sims:    36 | Time:  1.549s | Move: (1, 2, 2, 3)
[Game   1] [Move  74] Player: P2   (UCT ) | Sims:  1674 | Time:  1.502s | Move: (7, 4, 6, 3)
[Game   1] [Move  75] Player: P1   (MCVS) | Sims:    36 | Time:  1.523s | Move: (2, 3, 3, 2)
[Game   1] [Move  76] Player: P2   (UCT ) | Sims:  2106 | Time:  1.511s | Move: (6, 3, 5, 2)
[Game   1] [Move  77] Player: P1   (MCVS) | Sims:    36 | Time:  1.539s | Move: (3, 2, 2, 3)
[Game   1] [Move  78] Player: P2   (UCT ) | Sims:  1956 | Time:  1.509s | Move: (6, 5, 7, 4)
[Game   1] [Move  79] Player: P1   (MCVS) | Sims:    36 | Time:  1.522s | Move: (2, 3, 3, 2)
[Game   1] [Move  80] Player: P2   (UCT ) | Sims:  2408 | Time:  1.501s | Move: (5, 2, 6, 1)
[Game   1] [Move  81] Player: P1   (MCVS) | Sims:    36 | Time:  1.516s | Move: (3, 2, 2, 1)
[Game   1] [Move  82] Player: P2   (UCT ) | Sims:  1692 | Time:  1.509s | Move: (7, 4, 6, 5)
[Game   1] [Move  83] Player: P1   (MCVS) | Sims:    36 | Time:  1.541s | Move: (2, 1, 1, 0)
[Game   1] [Move  84] Player: P2   (UCT ) | Sims:  1520 | Time:  1.501s | Move: (6, 5, 5, 4)
[Game   1] [Move  85] Player: P1   (MCVS) | Sims:    36 | Time:  1.530s | Move: (1, 0, 2, 1)
[Game   1] [Move  86] Player: P2   (UCT ) | Sims:  1760 | Time:  1.506s | Move: (5, 4, 4, 5)
[Game   1] [Move  87] Player: P1   (MCVS) | Sims:    35 | Time:  1.521s | Move: (2, 1, 1, 2)
[Game   1] [Move  88] Player: P2   (UCT ) | Sims:  1840 | Time:  1.512s | Move: (4, 5, 3, 6)
