Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game  52/200 | UCT        (moves= 49) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,263 | ETA: 297.4 min
Game  53/200 | UCT        (moves= 94) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,302 | ETA: 296.6 min
Game  54/200 | UCT        (moves=111) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,333 | ETA: 297.0 min
Game  55/200 | UCT        (moves= 68) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,357 | ETA: 294.3 min
Game  56/200 | UCT        (moves= 53) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,383 | ETA: 290.6 min
Game  57/200 | UCT        (moves= 92) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,404 | ETA: 289.5 min
Game  58/200 | MCVS       (moves= 48) | MCVS wins:  12 | Draws:   4 | Zone DB size: 1,423 | ETA: 285.6 min
Game  59/200 | UCT        (moves= 48) | MCVS wins:  12 | Draws:   4 | Zone DB size: 1,440 | ETA: 281.8 min
Game  60/200 | MCVS       (moves= 94) | MCVS wins:  13 | Draws:   4 | Zone DB size: 1,469 | ETA: 280.8 min
Game  61/200 | MCVS       (moves=121) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,506 | ETA: 281.4 min
Game  62/200 | UCT        (moves= 49) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,521 | ETA: 277.7 min
Game  63/200 | UCT        (moves=110) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,557 | ETA: 277.6 min
Game  64/200 | UCT        (moves= 59) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,579 | ETA: 274.5 min
Game  65/200 | UCT        (moves= 44) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,597 | ETA: 270.7 min
Game  66/200 | UCT        (moves= 83) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,623 | ETA: 269.0 min
Game  67/200 | Draw       (moves=150) | MCVS wins:  14 | Draws:   5 | Zone DB size: 1,664 | ETA: 270.7 min
Game  68/200 | Draw       (moves=150) | MCVS wins:  14 | Draws:   6 | Zone DB size: 1,712 | ETA: 272.3 min
Game  69/200 | Draw       (moves=150) | MCVS wins:  14 | Draws:   7 | Zone DB size: 1,755 | ETA: 273.7 min
Game  70/200 | UCT        (moves= 53) | MCVS wins:  14 | Draws:   7 | Zone DB size: 1,768 | ETA: 270.3 min
Game  71/200 | UCT        (moves= 34) | MCVS wins:  14 | Draws:   7 | Zone DB size: 1,780 | ETA: 266.1 min
Game  72/200 | MCVS       (moves=136) | MCVS wins:  15 | Draws:   7 | Zone DB size: 1,820 | ETA: 266.7 min
Game  73/200 | Draw       (moves=150) | MCVS wins:  15 | Draws:   8 | Zone DB size: 1,862 | ETA: 267.7 min
Game  74/200 | MCVS       (moves=114) | MCVS wins:  16 | Draws:   8 | Zone DB size: 1,897 | ETA: 267.1 min
Game  75/200 | UCT        (moves= 42) | MCVS wins:  16 | Draws:   8 | Zone DB size: 1,910 | ETA: 263.3 min
Game  76/200 | Draw       (moves=150) | MCVS wins:  16 | Draws:   9 | Zone DB size: 1,954 | ETA: 264.1 min
Game  77/200 | UCT        (moves= 52) | MCVS wins:  16 | Draws:   9 | Zone DB size: 1,977 | ETA: 260.7 min
Game  78/200 | UCT        (moves= 35) | MCVS wins:  16 | Draws:   9 | Zone DB size: 1,989 | ETA: 256.7 min
Game  79/200 | UCT        (moves= 88) | MCVS wins:  16 | Draws:   9 | Zone DB size: 2,021 | ETA: 254.9 min
Game  80/200 | UCT        (moves= 43) | MCVS wins:  16 | Draws:   9 | Zone DB size: 2,038 | ETA: 251.3 min
Game  81/200 | UCT        (moves= 44) | MCVS wins:  16 | Draws:   9 | Zone DB size: 2,053 | ETA: 247.9 min
Game  82/200 | UCT        (moves= 83) | MCVS wins:  16 | Draws:   9 | Zone DB size: 2,076 | ETA: 245.9 min
Game  83/200 | UCT        (moves=116) | MCVS wins:  16 | Draws:   9 | Zone DB size: 2,106 | ETA: 245.1 min
Game  84/200 | MCVS       (moves= 54) | MCVS wins:  17 | Draws:   9 | Zone DB size: 2,121 | ETA: 242.1 min
Game  85/200 | UCT        (moves=144) | MCVS wins:  17 | Draws:   9 | Zone DB size: 2,165 | ETA: 242.2 min
Game  86/200 | MCVS       (moves= 98) | MCVS wins:  18 | Draws:   9 | Zone DB size: 2,192 | ETA: 240.7 min
Game  87/200 | UCT        (moves= 64) | MCVS wins:  18 | Draws:   9 | Zone DB size: 2,208 | ETA: 238.0 min
Game  88/200 | UCT        (moves=107) | MCVS wins:  18 | Draws:   9 | Zone DB size: 2,243 | ETA: 236.8 min
Game  89/200 | MCVS       (moves= 31) | MCVS wins:  19 | Draws:   9 | Zone DB size: 2,255 | ETA: 233.1 min
Game  90/200 | MCVS       (moves= 94) | MCVS wins:  20 | Draws:   9 | Zone DB size: 2,296 | ETA: 231.4 min
Game  91/200 | MCVS       (moves= 49) | MCVS wins:  21 | Draws:   9 | Zone DB size: 2,317 | ETA: 228.3 min
Game  92/200 | Draw       (moves=150) | MCVS wins:  21 | Draws:  10 | Zone DB size: 2,355 | ETA: 228.4 min
Game  93/200 | MCVS       (moves= 95) | MCVS wins:  22 | Draws:  10 | Zone DB size: 2,387 | ETA: 226.7 min
Game  94/200 | UCT        (moves= 53) | MCVS wins:  22 | Draws:  10 | Zone DB size: 2,412 | ETA: 223.7 min
Game  95/200 | MCVS       (moves= 65) | MCVS wins:  23 | Draws:  10 | Zone DB size: 2,435 | ETA: 221.1 min
Game  96/200 | UCT        (moves= 49) | MCVS wins:  23 | Draws:  10 | Zone DB size: 2,453 | ETA: 218.2 min
Game  97/200 | UCT        (moves= 92) | MCVS wins:  23 | Draws:  10 | Zone DB size: 2,482 | ETA: 216.4 min
